sr_No,ticker,company,sector,industry,country,marketCap,peRatio,price,change,volume,fwdPERatio,peg,psRatio,pbRatio,pcRatio,pfcFRatio,epsThisYear,divident,roa,roe,roi,currR,quickR,ltDeptEq,debtEq,outstanding,float,insiderOwn,insiderTran,instOwn,instTran,floatShort,shortRatio,perfWeek,perfMonth,perfQuart,perfHalf,perfYear,perfYTD,volatilityWeek,volatilityMonth,recom,beta,atr,sma20,sma50,sma200,52W_High,52W_Low,rsi,price,loadDate
11,ADI,Analog Devices Inc.,Technology,Semiconductor - Integrated Circuits,USA,33.72B,45.84,91.81,0.0112,1367407,18.73,2.52,7.38,3.4,37.12,623.35,0.255,0.0196,0.036,0.078,0.135,2,1.5,0.83,0,367.32M,365.79M,0.001,-0.3398,0.884,0,0.0224,3.77,0.0066,0.0446,0.1641,0.202,0.4379,0.2643,0.0142,0.0132,2.2,1.31,1.23,0.026,0.0694,0.1317,-0.0033,0.469,76.24,91.81,4-Nov-2017
12,ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,22.35B,16.78,39.78,-0.0095,3157835,13.98,-,0.36,1.3,33.35,14.85,-0.274,0.0322,0.035,0.08,0.044,1.6,0.9,0.35,0.4,561.74M,549.62M,0.023,0,0.758,-0.0029,0.023,4.43,-0.0764,-0.0824,-0.0627,-0.074,-0.1613,-0.1286,0.0228,0.0138,3,1.12,0.71,-0.0728,-0.0709,-0.0781,-0.1691,-0.0043,21.9,39.78,4-Nov-2017
13,ADP,Automatic Data Processing Inc.,Technology,Business Software & Services,USA,49.89B,29.18,112.24,-0.0184,2906579,26.27,2.79,4.03,12.54,17.92,55.42,0.183,0.0203,0.045,0.429,0.29,1.1,1.1,0.5,0.5,444.50M,443.73M,0.001,-0.1975,0.839,0.0134,0.016,2,-0.0508,-0.0117,0.0006,0.1607,0.2565,0.092,0.0195,0.0139,2.8,0.89,1.75,-0.0252,0.0138,0.0711,-0.0783,0.2816,41.87,112.24,4-Nov-2017
14,ADS,Alliance Data Systems Corporation,Services,Business Services,USA,12.56B,23.93,225.59,-0.0029,275973,10.52,1.86,1.69,8.8,6.45,6,-0.171,0.0092,0.018,0.281,0.042,2.3,2.2,10.38,15.23,55.67M,54.03M,0.02,0,0.9999,-0.0011,0.0397,3.9,-0.0269,-0.0049,-0.056,-0.1234,0.1277,-0.0127,0.0213,0.0239,2.3,1.79,5.15,-0.0173,0.0068,-0.0543,-0.1527,0.139,47.34,225.59,4-Nov-2017
15,ADSK,Autodesk Inc.,Technology,Technical & System Software,USA,27.40B,-,124.85,0.001,1309683,103.87,-,14.01,86.7,16.05,-,-0.787,-,-0.128,-0.901,-0.251,1.2,1.2,5.02,5.02,219.50M,218.45M,0.003,-0.3215,-,0.0086,0.022,2.71,0.0103,0.0713,0.1369,0.3369,0.8466,0.6869,0.0171,0.0154,2,1.96,2.03,0.0376,0.075,0.231,-0.0126,0.8593,75.27,124.85,4-Nov-2017
16,AEE,Ameren Corporation,Utilities,Electric Utilities,USA,15.09B,21.7,62.19,-0.0021,1978957,20.63,3.1,2.41,2.11,1508.73,8.78,0.129,0.0294,0.028,0.098,0.067,0.6,0.4,0.95,1.16,242.60M,241.89M,0.001,-0.052,0.721,0.0195,0.0292,5.21,0.0063,0.0569,0.0734,0.1384,0.2674,0.1855,0.0116,0.0108,2.5,0.4,0.71,0.0198,0.0364,0.1023,-0.0048,0.324,65.21,62.19,4-Nov-2017
17,AEP,American Electric Power Company Inc.,Utilities,Electric Utilities,USA,36.43B,63.53,74.08,0.0049,2312121,19.06,22.91,2.28,2.04,74.35,11.13,-0.653,0.0319,0.011,0.04,0.033,0.5,0.3,0.94,1.2,491.79M,491.21M,0.0013,-0.0017,0.733,0.0091,0.0145,3.33,0.0008,0.0362,0.0377,0.0938,0.1774,0.1766,0.0126,0.0112,2.4,0.29,0.86,0.0095,0.0176,0.0678,-0.0112,0.2797,57.96,74.08,4-Nov-2017
18,AES,The AES Corporation,Utilities,Electric Utilities,USA,6.98B,1748.33,10.49,-0.0278,6025677,8.64,152.03,0.5,2.29,3.57,-,-0.975,0.0458,-0.02,-0.255,0.014,1,0.9,6.02,6.87,665.16M,658.18M,0.0032,0,0.968,0.0005,0.012,1.79,-0.0269,-0.0709,-0.055,-0.0725,-0.1072,-0.0972,0.025,0.0164,2.4,1.24,0.19,-0.0497,-0.058,-0.0719,-0.1591,0.0029,31.54,10.49,4-Nov-2017
19,AET,Aetna Inc.,Healthcare,Health Care Plans,USA,60.64B,38.6,176.99,0.0271,5649700,17.45,4.09,0.97,3.82,16.97,41.82,-0.055,0.0113,0.025,0.095,0.074,-,-,0.47,0.6,342.61M,330.75M,0.002,-0.1939,0.923,-0.0007,0.0095,1.49,0.0224,0.0973,0.1274,0.2503,0.6824,0.4272,0.0313,0.0289,2.2,0.59,4.87,0.092,0.1067,0.2229,-0.0432,0.6922,67.98,176.99,4-Nov-2017
20,AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,33.07B,12.19,83.98,-0.0051,1208712,12.32,0.9,1.49,1.55,7.76,5.86,0.099,0.0205,0.018,0.116,0.106,-,-,0.24,0.24,393.77M,387.97M,0.003,-0.1849,0.729,0.0031,0.017,4.23,0.0005,0.0181,0.0355,0.1298,0.2199,0.2066,0.0074,0.0106,2.9,0.99,0.91,0.0014,0.0124,0.0928,-0.0201,0.2629,56.3,83.98,4-Nov-2017
21,AGN,Allergan plc,Healthcare,Drugs - Generic,USA,58.63B,-,174.92,-0.0026,3381979,10.38,-,3.89,0.83,10.06,230.2,0.633,0.016,0.089,0.157,0.001,1.2,1.1,0.38,0.43,335.20M,333.57M,0.002,-0.0027,0.861,-0.0002,0.0193,1.89,-0.0218,-0.1643,-0.2749,-0.277,-0.0736,-0.1671,0.0508,0.0353,2.2,1.14,6.52,-0.0833,-0.1561,-0.2385,-0.3188,0.0311,29.78,174.92,4-Nov-2017
22,AIG,American International Group Inc.,Financial,Property & Casualty Insurance,USA,56.27B,-,62,-0.0459,14317096,11.72,-,1.1,0.78,22.36,-,-1.423,0.0206,-0.001,-0.003,0.004,-,-,0.43,0.43,907.60M,902.97M,0.0005,0.214,0.859,-0.0085,0.021,3.72,-0.0395,0.0003,-0.0459,0.0013,0.0662,-0.0507,0.0149,0.0135,2.4,1.23,0.95,-0.0297,0.0023,-0.0121,-0.0811,0.0811,41.78,62,4-Nov-2017
23,AIV,Apartment Investment and Management Company,Financial,REIT - Residential,USA,6.91B,244.31,44.22,0.0142,1061655,82.19,34.41,6.95,5.05,108.34,45.47,-0.569,0.0326,0.065,0.264,0.049,-,-,2.99,3.17,156.31M,155.72M,0.0083,-0.0858,-,0.0498,0.0262,4.61,-0.0034,-0.0116,-0.0303,0.0262,0.0107,-0.0271,0.0188,0.014,2.8,0.47,0.66,-0.0007,-0.012,-0.0042,-0.0562,0.115,48.52,44.22,4-Nov-2017
24,AIZ,Assurant Inc.,Financial,Accident & Health Insurance,USA,5.42B,13.16,100.14,-0.0007,673794,14.12,0.68,0.8,1.31,6.39,21.94,3.451,0.0212,0.015,0.104,0.121,-,-,0.27,0.27,54.09M,53.46M,0.008,-0.0204,0.95,0.0064,0.0173,2.15,0.0009,0.0487,-0.0361,-0.049,0.2458,0.0784,0.0225,0.0174,2.7,0.8,1.75,0.0158,0.0437,0.0125,-0.064,0.2614,64.38,100.14,4-Nov-2017
25,AKAM,Akamai Technologies Inc.,Technology,Internet Information Providers,USA,9.15B,31.72,53.01,0.0138,1606368,20.34,5.01,3.72,2.78,13.39,14.01,0.007,-,0.073,0.1,0.082,3.1,3.1,0.2,0.2,172.52M,167.90M,0.004,0.0874,0.878,-0.002,0.0521,4.77,0.0002,0.0439,0.1205,0.0566,-0.2031,-0.205,0.0154,0.0173,2.5,0.66,1.05,0.0263,0.0796,-0.0195,-0.2601,0.1872,64.47,53.01,4-Nov-2017
26,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,15.47B,52.43,140.04,0.0229,1395317,27.74,3.5,5.5,4.12,15.36,166.48,0.438,0.0091,0.11,0.244,0.078,2.2,1.7,0.38,0.46,110.44M,110.08M,0.003,-0.269,0.882,0.0121,0.0661,5.21,0.0069,0.0027,0.1378,0.2782,0.6711,0.6269,0.0267,0.0186,2.5,1.72,2.88,0.0081,0.0664,0.2391,-0.0254,0.8349,59.44,140.04,4-Nov-2017
27,ALGN,Align Technology Inc.,Healthcare,Medical Appliances & Equipment,USA,19.35B,82.8,241.35,0.0338,1034939,55.66,3.4,15.63,17.94,32.15,102.24,0.318,-,0.152,0.214,0.199,2.4,2.3,0,0,80.19M,72.33M,0.005,-0.1615,0.844,-0.0072,0.0569,4.24,0.0229,0.2933,0.387,0.7617,1.8038,1.5107,0.0355,0.0273,1.4,1.37,7.09,0.1741,0.2591,0.647,-0.0133,1.8255,84.29,241.35,4-Nov-2017
28,ALK,Alaska Air Group Inc.,Services,Regional Airlines,USA,7.87B,10.21,63.65,0,1669169,9.65,2.49,1.05,2.41,4.09,5.77,-0.002,0.0189,0.073,0.242,0.139,0.8,0.8,0.76,0.86,123.57M,123.32M,0.004,-0.0546,0.902,-0.0022,0.0579,4.08,-0.044,-0.2019,-0.2599,-0.238,-0.0863,-0.2827,0.0262,0.0307,1.9,1.03,2.26,-0.1544,-0.1542,-0.2629,-0.3725,0.0014,23.65,63.65,4-Nov-2017
29,ALL,The Allstate Corporation,Financial,Property & Casualty Insurance,USA,35.44B,14.46,97.84,-0.0001,3027137,13.81,0.76,0.94,1.8,73.53,11.28,-0.076,0.0151,0.023,0.13,0.075,-,-,0.32,0.32,362.25M,360.38M,0.001,-0.4858,0.781,0.0064,0.0112,1.99,0.0438,0.0499,0.0382,0.1542,0.4369,0.32,0.0145,0.0114,2.3,1.09,1.19,0.0485,0.0663,0.1314,-0.0038,0.4702,79.78,97.84,4-Nov-2017
30,ALLE,Allegion plc,Services,Security & Protection Services,Ireland,7.83B,23.31,82.02,-0.0026,896132,19.58,1.67,3.33,21.19,23.38,29.86,0.485,0.0078,0.147,1.509,0.176,2.1,1.5,3.85,3.94,95.47M,94.68M,0.001,-0.1327,0.966,0.0002,0.0331,4.95,0.0215,-0.058,0.0004,0.068,0.2959,0.2816,0.0185,0.0168,2.2,1.11,1.67,-0.0467,-0.0212,0.046,-0.0867,0.3005,40.42,82.02,4-Nov-2017
31,ALXN,Alexion Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,26.30B,52.73,117.95,0.0201,1343654,16.55,2.82,7.58,2.94,17.2,30.42,1.629,-,0.038,0.057,0.041,3,2.5,0.35,0.36,223.00M,222.44M,0.001,-,0.974,0.0018,0.0226,2.87,-0.083,-0.1797,-0.1473,-0.0525,-0.075,-0.036,0.0381,0.0297,1.9,1.27,4.06,-0.1234,-0.1518,-0.0751,-0.2102,0.2263,26.58,117.95,4-Nov-2017
32,AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,USA,60.57B,20.07,56.55,0.0052,5566091,15.47,0.7,4.37,6.95,8.38,20.41,0.373,0.0071,0.182,0.385,0.173,2.9,2.3,0.61,0.61,1.07B,1.06B,0.002,-0.0263,0.825,0.0002,0.0144,1.51,-0.0025,0.0996,0.2864,0.3613,1.0004,0.7524,0.0218,0.0198,1.8,1.83,1.23,0.0281,0.1265,0.3054,-0.0138,1.0182,68.02,56.55,4-Nov-2017
33,AME,AMETEK Inc.,Industrial Goods,Diversified Machinery,USA,15.62B,29.61,67.66,-0.0105,2380554,24.09,3.4,3.92,4.33,30.25,25.64,-0.104,0.0053,0.073,0.155,0.111,1.8,1.3,0.59,0.67,230.93M,226.76M,0.012,-0.0849,0.885,0.0003,0.0102,2.44,-0.0221,0.012,0.0541,0.129,0.5287,0.3922,0.0224,0.0125,1.7,1.33,0.96,-0.0036,0.0244,0.1286,-0.037,0.5335,53,67.66,4-Nov-2017
34,AMG,Affiliated Managers Group Inc.,Financial,Asset Management,USA,10.39B,20.54,185.35,0.0001,384323,11.28,1.46,4.7,2.9,28.49,9.56,-0.066,0.0043,0.061,0.15,0.082,-,-,0.56,0.56,56.05M,55.59M,0.007,-0.1536,-,-0.0004,0.0197,3.87,-0.028,-0.0506,0.0261,0.2033,0.3951,0.2756,0.0174,0.0157,1.8,1.71,3.23,-0.037,-0.0028,0.0914,-0.0658,0.4205,41.42,185.35,4-Nov-2017
35,AMGN,Amgen Inc.,Healthcare,Biotechnology,USA,127.45B,15.66,173.44,0.006,2433000,13.58,3.7,5.54,3.92,3.08,16.16,0.131,0.0265,0.104,0.263,0.13,6.1,5.7,1.05,1.11,734.84M,722.81M,0.002,-0.0055,0.805,-0.0011,0.0121,3.42,-0.0105,-0.0718,-0.0065,0.0639,0.2827,0.1862,0.0167,0.0186,2.4,1.39,3.38,-0.0408,-0.0473,0.0138,-0.0924,0.2978,32.15,173.44,4-Nov-2017
36,AMP,Ameriprise Financial Inc.,Financial,Asset Management,USA,24.25B,14.9,159.59,-0.006,755410,12.33,0.99,2.03,3.96,9.46,41.96,-0.079,0.0208,0.01,0.212,0.071,-,-,0.83,2.5,151.98M,149.47M,0.003,-0.3563,0.866,-0.0127,0.0094,1.46,-0.0064,0.06,0.0835,0.2431,0.8228,0.4385,0.0146,0.0135,2.2,1.9,2.28,0.0307,0.0887,0.1912,-0.0212,0.8437,68.39,159.59,4-Nov-2017
37,AMT,American Tower Corporation,Financial,REIT - Diversified,USA,60.73B,56.93,142.1,-0.0024,1577293,38.36,2.05,9.59,9.37,78.77,52.28,0.407,0.0186,0.034,0.16,0.067,0.5,0.5,2.7,2.97,427.39M,427.39M,0.002,-0.1489,0.938,-0.0006,0.0117,2.66,0.0221,0.0205,0.0292,0.1027,0.2545,0.3446,0.0306,0.0177,1.7,0.75,2.57,0.0197,0.0077,0.1041,-0.0444,0.425,54.64,142.1,4-Nov-2017
38,AMZN,Amazon.com Inc.,Services,Catalog & Mail Order Houses,USA,471.65B,280.49,1111.6,0.0159,3729123,137.63,4.87,3.14,22.94,21.99,53.31,2.921,-,0.024,0.094,0.071,1,0.7,0.33,0,424.30M,399.84M,0.167,-0.0279,0.624,0,0.0135,1.61,0.0097,0.1333,0.1203,0.1713,0.4492,0.4824,0.0165,0.017,1.8,1.43,21.58,0.0924,0.1265,0.1803,-0.01,0.5654,74.29,1111.6,4-Nov-2017
39,ANDV,Andeavor,Basic Materials,Oil & Gas Refining & Marketing,USA,17.12B,39.15,110.17,0.004,1149709,13.75,1.32,0.62,1.62,16.14,94.61,-0.513,0.0214,0.016,0.053,0.085,1.5,0.7,0.81,0.86,155.43M,145.91M,0.066,0,0.802,-0.0018,0.0298,3.2,0.0419,0.0457,0.1338,0.346,0.383,0.2598,0.0192,0.0154,2,1.55,1.76,0.04,0.0637,0.207,-0.0099,0.4668,69.16,110.17,4-Nov-2017
40,ANSS,Ansys Inc.,Technology,Application Software,USA,12.70B,47.94,149.1,0.0028,747601,36.22,4.79,12.28,5.8,14.71,31.56,0.082,-,0.098,0.123,0.118,2.2,2.2,0,0,85.17M,84.05M,0.009,-0.0091,-,0.003,0.0165,3.13,0.0981,0.1905,0.193,0.2309,0.7858,0.6121,0.0309,0.0177,2.9,1.04,3.09,0.1301,0.1634,0.2661,-0.0389,0.8121,85.12,149.1,4-Nov-2017
41,ANTM,Anthem Inc.,Healthcare,Health Care Plans,USA,55.17B,19.14,211.8,0.0057,1177204,16.36,1.52,0.62,2.13,9.05,12.78,-0.018,0.0132,0.044,0.115,0.078,-,-,0.53,0.63,260.50M,254.83M,0.001,-0.2284,0.915,0.004,0.0256,4.05,0.0022,0.0979,0.1112,0.1778,0.7646,0.4732,0.0153,0.0215,2.1,0.77,4.25,0.075,0.0982,0.1723,-0.0013,0.7885,73.55,211.8,4-Nov-2017
42,AON,Aon plc,Financial,Insurance Brokers,United Kingdom,36.47B,36.95,138.64,-0.0023,1614564,17.24,2.89,3.37,6.63,10.63,24.85,0.058,0.0104,0.071,0.338,0.144,1.2,1.2,1.05,1.1,263.09M,250.61M,0.002,-0.0471,0.929,0.0011,0.0113,2.67,-0.0516,-0.0546,-0.0009,0.1289,0.278,0.2431,0.0189,0.0117,2.6,1.06,2.03,-0.0637,-0.0438,0.0623,-0.0926,0.2869,26.51,138.64,4-Nov-2017
43,AOS,A. O. Smith Corporation,Industrial Goods,Industrial Electrical Equipment,USA,10.28B,29.24,59.54,-0.009,672006,24.95,3.66,3.51,6.38,13.88,52.8,0.168,0.0094,0.117,0.219,0.178,2.3,1.9,0.23,0.23,172.74M,144.21M,0.007,-0.1331,0.949,0.0151,0.0238,4.29,-0.001,-0.0207,0.0915,0.0857,0.3591,0.2574,0.0136,0.0138,2.4,1.53,0.89,-0.0166,0.0131,0.0936,-0.0421,0.3637,48.72,59.54,4-Nov-2017
44,APA,Apache Corporation,Basic Materials,Independent Oil & Gas,USA,16.29B,657.69,42.75,0.0257,3123909,101.79,-,2.8,2.36,9.77,8.85,0.874,0.0234,0,-0.001,-0.084,1.6,1.5,1.21,1.23,381.00M,380.32M,0.001,0.0453,0.984,0.0043,0.0731,7.58,0.0493,-0.067,-0.0369,-0.1493,-0.23,-0.3265,0.033,0.0305,3,1.08,1.29,0.0219,0.0161,-0.1121,-0.3804,0.1209,55.43,42.75,4-Nov-2017
45,APC,Anadarko Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,27.11B,-,49.51,0.0024,6513702,-,-,2.67,2.38,4.51,-,0.553,0.004,-0.046,-0.173,-0.063,2.5,2.5,1.35,1.35,547.50M,547.50M,0.001,0,0.879,0.0036,0.0201,2.14,0.0143,0.0094,0.1158,-0.0535,-0.1783,-0.29,0.0268,0.0224,2,1.41,1.14,0.0192,0.0694,-0.0628,-0.3248,0.239,62.68,49.51,4-Nov-2017
46,APD,Air Products and Chemicals Inc.,Basic Materials,Chemicals - Major Diversified,USA,34.82B,32.91,159.25,-0.001,461127,21.01,7.51,4.12,3.69,10.4,-,-0.256,0.0239,0.181,0.383,0.083,2.2,2,0.36,0.42,218.65M,215.78M,0.0021,0,0.885,-0.0067,0.0098,1.64,-0.0101,0.0387,0.0811,0.0893,0.1966,0.1073,0.0117,0.0098,2.2,1.25,1.8,0.0245,0.051,0.102,-0.0222,0.2058,70.84,159.25,4-Nov-2017
47,APH,Amphenol Corporation,Technology,Diversified Electronics,USA,26.71B,27.88,87.33,-0.003,948715,25.32,2.66,3.97,6.89,19.63,34.62,0.082,0.0087,0.103,0.238,0.134,2.3,1.7,0.78,0.88,305.80M,304.52M,0.003,-0.6444,-,0.0013,0.015,4.11,0.0084,0.0119,0.1199,0.2041,0.3458,0.2996,0.012,0.0107,2.2,0.8,1,0.007,0.0403,0.1565,-0.0098,0.3491,60.25,87.33,4-Nov-2017
48,ATVI,Activision Blizzard Inc.,Technology,Multimedia & Graphics Software,USA,46.16B,42.88,63.2,-0.0344,18869543,25.18,2.45,6.65,4.91,-,24.63,0.07,0.0047,0.064,0.121,0.084,2.5,2.4,0.45,0,730.44M,698.01M,0.007,-0.4319,0.904,0.0177,0.021,2.51,-0.0147,0.0017,0.011,0.1706,0.4572,0.7502,0.0314,0.0227,2,1.05,1.6,0.0085,-0.0059,0.1306,-0.0508,0.7995,48.29,63.2,4-Nov-2017
49,AVB,AvalonBay Communities Inc.,Financial,REIT - Residential,USA,24.99B,25.11,181.97,0.009,492219,37.97,7.5,11.97,2.43,467.1,62.55,0.364,0.0312,0.056,0.098,0.034,-,-,0.68,0.68,137.33M,137.33M,0.003,-0.0872,0.994,-0.0018,0.0266,5.08,0.0018,0.0085,-0.0343,-0.0515,0.0666,0.0272,0.0216,0.0122,2.4,0.38,2.47,0.0081,-0.0012,-0.021,-0.088,0.1494,52.01,181.97,4-Nov-2017
50,AVGO,Broadcom Limited,Technology,Semiconductor - Broad Line,Singapore,107.60B,224.84,273.63,0.0545,12027486,15.45,12.74,6.36,5.62,19.75,31.68,-1.898,0.0149,0.011,0.027,-0.036,4.5,3.8,0.69,0.69,393.23M,393.23M,0.001,-0.246,0.921,0.0003,0.0099,1.46,0.082,0.123,0.0839,0.2157,0.5818,0.5479,0.0469,0.0253,1.7,1.02,7.03,0.0977,0.1091,0.1704,0.026,0.7036,74.48,273.63,4-Nov-2017
51,AVY,Avery Dennison Corporation,Consumer Goods,Business Equipment,USA,9.57B,24.11,108.09,-0.0032,598231,19.95,1.93,1.49,8.94,45.68,26.57,0.197,0.0167,0.073,0.339,0.145,1.1,0.8,1.19,1.61,88.50M,87.91M,0.003,-0.3797,0.912,0.0009,0.0192,2.81,0.0187,0.0821,0.1555,0.2905,0.5343,0.5393,0.0145,0.0151,2.1,1.23,1.61,0.0553,0.0933,0.2286,-0.0045,0.5681,74.74,108.09,4-Nov-2017
52,AWK,American Water Works Company Inc.,Utilities,Water Utilities,USA,15.80B,33.53,88.76,-0.0077,951786,27,4.59,4.74,2.93,246.86,-,-0.011,0.0187,0.026,0.09,0.063,0.3,0.3,1.05,1.39,178.00M,177.98M,0.001,-0.11,0.839,-0.0006,0.0216,4.58,0.0124,0.0706,0.0906,0.1592,0.2312,0.2266,0.0128,0.0114,2.3,0.26,1.13,0.0286,0.062,0.1201,-0.0162,0.2787,69.77,88.76,4-Nov-2017
53,AXP,American Express Company,Financial,Credit Services,USA,83.61B,18.61,96.43,0.0047,2089502,14.91,1.69,2.51,4.02,29.65,7.86,0.12,0.0145,0.028,0.222,0.042,-,-,2.31,5.33,867.09M,865.99M,0.002,-0.3894,0.871,0.004,0.0185,5.02,0.0067,0.0578,0.1232,0.2338,0.476,0.3017,0.0105,0.0123,2.5,1.22,1.11,0.0342,0.0741,0.1647,-0.0014,0.4829,78.03,96.43,4-Nov-2017
54,AYI,Acuity Brands Inc.,Technology,Diversified Electronics,USA,6.84B,21.8,162.07,0.0052,591839,16.63,1.09,1.95,4.08,22,30.26,0.121,0.0032,0.111,0.191,0.172,2.1,1.5,0.21,0.21,42.23M,41.88M,0.004,-0.0365,-,-0.005,0.1266,8.85,0.0213,-0.0775,-0.1805,-0.1328,-0.2607,-0.298,0.036,0.0267,2.4,1.44,4.93,-0.0095,-0.0413,-0.131,-0.3801,0.0573,44.02,162.07,4-Nov-2017
